name,base_name,variant,category,scale,filename,prompt
Rocket,Rocket,,Projectile,medium,rocket,"medieval fantasy item, hand-painted style, realistic textures, subtle stylization, inspired by classic dungeon crawler games, controlled detail, optimized for small-scale readability, limited micro-detail, clear visual hierarchy, clean shapes, readable silhouette, centered object, neutral presentation angle, slight perspective, object fully visible, consistent scale, icon-like composition, uniform presentation across items, square format, perfectly square image, equal width and height, no vertical composition, no background, pure white background, no shadow, no text, no border, soft neutral lighting, 512x512, object occupies about 30% of the image area, clear margin around object, fantasy explosive rocket projectile, slim metal cylinder with rear stabilizer fins, glowing rune-etched tip, magical propulsion, rare and devastating ranged ammunition"
Etoile,Etoile,,Special,small,etoile,"medieval fantasy item, hand-painted style, realistic textures, subtle stylization, inspired by classic dungeon crawler games, controlled detail, optimized for small-scale readability, limited micro-detail, clear visual hierarchy, clean shapes, readable silhouette, centered object, neutral presentation angle, slight perspective, object fully visible, consistent scale, icon-like composition, uniform presentation across items, square format, perfectly square image, equal width and height, no vertical composition, no background, pure white background, no shadow, no text, no border, soft neutral lighting, 512x512, object occupies about 15% of the image area, large empty margin around object, object appears small within the frame, small star-shaped magical object, polished golden metal, five symmetrical points, subtle mystical aura, rare arcane quest item"
Dagger of Fear,Dagger of Fear,,Magical Blade,medium,dagger_of_fear,"medieval fantasy item, hand-painted style, realistic textures, subtle stylization, inspired by classic dungeon crawler games, controlled detail, optimized for small-scale readability, limited micro-detail, clear visual hierarchy, clean shapes, readable silhouette, centered object, neutral presentation angle, slight perspective, object fully visible, consistent scale, icon-like composition, uniform presentation across items, square format, perfectly square image, equal width and height, no vertical composition, no background, pure white background, no shadow, no text, no border, soft neutral lighting, 512x512, object occupies about 30% of the image area, clear margin around object, dark enchanted dagger, sinister narrow blade with engraved fear runes, ominous faint magical aura, unsettling short weapon with fear-inducing magical design"
Long Bow,Long Bow,,Ranged Weapon,large,long_bow,"medieval fantasy item, hand-painted style, realistic textures, subtle stylization, inspired by classic dungeon crawler games, controlled detail, optimized for small-scale readability, limited micro-detail, clear visual hierarchy, clean shapes, readable silhouette, centered object, neutral presentation angle, slight perspective, object fully visible, consistent scale, icon-like composition, uniform presentation across items, square format, perfectly square image, equal width and height, no vertical composition, no background, pure white background, no shadow, no text, no border, soft neutral lighting, 512x512, object occupies about 70% of the image area, fills most of the frame while remaining fully visible with slight margin, tall wooden longbow, long straight limbs of carved yew wood, wrapped leather grip, powerful and elegant medieval ranged weapon larger than a standard bow"
Suede Doublet,Suede Doublet,,Leather Armor,medium,suede_doublet,"medieval fantasy item, hand-painted style, realistic textures, subtle stylization, inspired by classic dungeon crawler games, controlled detail, optimized for small-scale readability, limited micro-detail, clear visual hierarchy, clean shapes, readable silhouette, centered object, neutral presentation angle, slight perspective, object fully visible, consistent scale, icon-like composition, uniform presentation across items, square format, perfectly square image, equal width and height, no vertical composition, no background, pure white background, no shadow, no text, no border, soft neutral lighting, 512x512, object occupies about 30% of the image area, clear margin around object, soft suede doublet, fitted torso garment, smooth pale tan leather, slightly elegant and practical light armor, comfortable adventurer's wear"
Robe of the Kite Lord,Robe of the Kite Lord,,Magical Robe,medium,robe_of_the_kite_lord,"medieval fantasy item, hand-painted style, realistic textures, subtle stylization, inspired by classic dungeon crawler games, controlled detail, optimized for small-scale readability, limited micro-detail, clear visual hierarchy, clean shapes, readable silhouette, centered object, neutral presentation angle, slight perspective, object fully visible, consistent scale, icon-like composition, uniform presentation across items, square format, perfectly square image, equal width and height, no vertical composition, no background, pure white background, no shadow, no text, no border, soft neutral lighting, 512x512, object occupies about 30% of the image area, clear margin around object, grand enchanted robe, richly woven fabric with noble arcane markings, powerful sorcerer's torso garment, distinguished magical design with subtle kite motif"
Barbarian Doublet,Barbarian Doublet,,Leather Armor,medium,barbarian_doublet,"medieval fantasy item, hand-painted style, realistic textures, subtle stylization, inspired by classic dungeon crawler games, controlled detail, optimized for small-scale readability, limited micro-detail, clear visual hierarchy, clean shapes, readable silhouette, centered object, neutral presentation angle, slight perspective, object fully visible, consistent scale, icon-like composition, uniform presentation across items, square format, perfectly square image, equal width and height, no vertical composition, no background, pure white background, no shadow, no text, no border, soft neutral lighting, 512x512, object occupies about 30% of the image area, clear margin around object, rough stitched barbarian doublet, thick layered leather torso armor, crude but sturdy laced construction, primitive warrior's chest protection"
Plate Mail,Plate Mail,,Plate Armor,large,plate_mail,"medieval fantasy item, hand-painted style, realistic textures, subtle stylization, inspired by classic dungeon crawler games, controlled detail, optimized for small-scale readability, limited micro-detail, clear visual hierarchy, clean shapes, readable silhouette, centered object, neutral presentation angle, slight perspective, object fully visible, consistent scale, icon-like composition, uniform presentation across items, square format, perfectly square image, equal width and height, no vertical composition, no background, pure white background, no shadow, no text, no border, soft neutral lighting, 512x512, object occupies about 70% of the image area, fills most of the frame while remaining fully visible with slight margin, heavy plate mail torso armor, layered steel plates over chainmail backing, solid riveted construction, imposing and robust medieval full torso protection"
Chain Mail Aketon,Chain Mail Aketon,,Mail Armor,medium,chain_mail_aketon,"medieval fantasy item, hand-painted style, realistic textures, subtle stylization, inspired by classic dungeon crawler games, controlled detail, optimized for small-scale readability, limited micro-detail, clear visual hierarchy, clean shapes, readable silhouette, centered object, neutral presentation angle, slight perspective, object fully visible, consistent scale, icon-like composition, uniform presentation across items, square format, perfectly square image, equal width and height, no vertical composition, no background, pure white background, no shadow, no text, no border, soft neutral lighting, 512x512, object occupies about 30% of the image area, clear margin around object, chain mail aketon foot armor, thick padded construction reinforced with riveted chain links, heavy protective medieval lower leg and foot covering"
Vilmain's Hat,Vilmain's Hat,,Headwear,medium,vilmains_hat,"medieval fantasy item, hand-painted style, realistic textures, subtle stylization, inspired by classic dungeon crawler games, controlled detail, optimized for small-scale readability, limited micro-detail, clear visual hierarchy, clean shapes, readable silhouette, centered object, neutral presentation angle, slight perspective, object fully visible, consistent scale, icon-like composition, uniform presentation across items, square format, perfectly square image, equal width and height, no vertical composition, no background, pure white background, no shadow, no text, no border, soft neutral lighting, 512x512, object occupies about 30% of the image area, clear margin around object, distinctive wide-brimmed soft wizard hat, slightly drooping fabric, characteristic personal magical headwear, subtly worn and unique"
